2024-01-15 09:15:23,U001,page_view,/home,10
2024-01-15 09:16:45,U001,page_view,/products,25
2024-01-15 09:18:12,U001,click,button_buy,5
2024-01-15 10:20:30,U002,page_view,/home,8
2024-01-15 10:22:15,U002,page_view,/products,30
2024-01-15 10:25:40,U002,page_view,/cart,15
2024-01-15 11:30:20,U003,page_view,/home,12
2024-01-15 11:32:50,U003,page_view,/products,20
2024-01-15 14:15:10,U001,page_view,/home,5
2024-01-15 14:16:30,U001,page_view,/products,18
2024-01-16 09:10:15,U002,page_view,/home,10
2024-01-16 09:12:30,U002,page_view,/products,22
2024-01-16 09:15:45,U002,click,button_add_cart,3
2024-01-16 10:30:20,U004,page_view,/home,15
2024-01-16 10:32:10,U004,page_view,/products,28
2024-01-16 10:35:25,U004,page_view,/cart,12
2024-01-16 10:37:50,U004,click,button_checkout,8
2024-01-17 08:20:15,U001,page_view,/home,8
2024-01-17 08:22:30,U001,page_view,/products,25
2024-01-17 08:25:45,U001,click,button_buy,4
2024-01-17 09:15:20,U003,page_view,/home,10
2024-01-17 09:17:35,U003,page_view,/products,30
2024-01-17 09:20:50,U003,page_view,/cart,20
2024-01-17 09:23:15,U003,click,button_checkout,6
